close,high,low,open,volume,baseVolume,datetime
9202.25,9206.97,9200.9,9206.45,67.62,622374.22,2020-07-02 11:00:00
9203.0,9203.53,9200.77,9202.25,16.22,149247.55,2020-07-02 11:01:00
9203.31,9204.11,9201.91,9203.0,11.35,104470.62,2020-07-02 11:02:00
9201.67,9204.67,9200.45,9203.31,12.65,116419.89,2020-07-02 11:03:00
9201.01,9202.0,9200.29,9201.67,8.519,78380.36,2020-07-02 11:04:00
9195.64,9201.01,9193.87,9201.01,37.47,344677.12,2020-07-02 11:05:00
9197.55,9199.82,9193.29,9195.64,20.57,189160.86,2020-07-02 11:06:00
9197.01,9199.28,9196.37,9197.55,16.95,155871.81,2020-07-02 11:07:00
9199.41,9200.99,9196.75,9197.01,13.24,121818.35,2020-07-02 11:08:00
9201.66,9201.88,9199.41,9199.41,10.31,94847.91,2020-07-02 11:09:00
9202.71,9203.97,9200.08,9201.66,15.38,141515.72,2020-07-02 11:10:00
9204.1,9204.72,9202.69,9202.71,15.37,141457.65,2020-07-02 11:11:00
9194.79,9204.1,9194.14,9204.1,52.99,487352.03,2020-07-02 11:12:00
9191.99,9194.79,9191.32,9194.79,12.33,113326.84,2020-07-02 11:13:00
9191.63,9192.46,9188.0,9191.99,31.18,286521.53,2020-07-02 11:14:00
9191.01,9192.33,9191.0,9191.63,11.54,106106.18,2020-07-02 11:15:00
9189.37,9191.01,9185.46,9191.01,11.87,109043.44,2020-07-02 11:16:00
9185.98,9189.37,9182.72,9189.37,51.8,475860.54,2020-07-02 11:17:00
9186.04,9188.19,9181.39,9185.98,42.72,392377.91,2020-07-02 11:18:00
9181.46,9186.04,9181.1,9186.04,14.98,137557.03,2020-07-02 11:19:00
9184.47,9185.9,9181.46,9181.46,16.16,148448.93,2020-07-02 11:20:00
9186.92,9188.99,9182.07,9184.47,47.2,433656.21,2020-07-02 11:21:00
9189.17,9189.25,9186.04,9186.92,40.68,373746.31,2020-07-02 11:22:00
9190.12,9190.15,9186.83,9189.17,27.91,256486.92,2020-07-02 11:23:00
9190.78,9191.79,9187.04,9190.12,18.87,173399.4,2020-07-02 11:24:00
9184.84,9191.78,9181.31,9190.78,33.02,303378.97,2020-07-02 11:25:00
9187.6,9188.63,9184.84,9184.84,18.39,168981.85,2020-07-02 11:26:00
9181.87,9187.61,9180.62,9187.6,37.86,347680.22,2020-07-02 11:27:00
9180.99,9181.96,9178.4,9181.87,55.11,505862.09,2020-07-02 11:28:00
9179.41,9181.0,9175.95,9180.99,61.64,565783.37,2020-07-02 11:29:00
9183.47,9183.9,9173.91,9179.41,74.82,686600.96,2020-07-02 11:30:00
9185.65,9187.03,9181.05,9183.47,27.86,255850.51,2020-07-02 11:31:00
9178.64,9186.19,9178.53,9185.65,27.26,250348.53,2020-07-02 11:32:00
9183.87,9184.38,9177.89,9178.64,26.08,239436.84,2020-07-02 11:33:00
