,Name,sma_pfast,sma_pslow,Return,MaxDrawDown,TotalTrades#,winTrades#,LossTrades#,WinRatio,AverageWin$,AverageLoss$,LongestWinStreak,LongestLossStreak,AverageWinLossRatio,RankReturn,RankMaxDrawDown,RankWinRatio,RankAverageWinLossRatio,Score
455,SMACross,18,23,0.0904,18.7228,68,28,39,0.4118,257.1036,-155.3907,3,4,-1.6546,118.0,478.0,19.5,81.0,174.125
456,SMACross,18,24,0.1192,17.9824,58,25,32,0.431,287.6718,-177.8418,4,4,-1.6176,78.0,493.0,6.0,68.0,161.25
457,SMACross,18,25,0.1153,17.9823,55,23,31,0.4182,303.7282,-178.3715,3,3,-1.7028,82.0,494.0,13.5,98.0,171.875
458,SMACross,18,26,0.0477,23.7239,54,20,33,0.3704,318.0743,-172.3831,4,7,-1.8452,201.0,383.0,87.0,147.0,204.5
459,SMACross,18,27,0.0044,26.6655,51,20,31,0.3922,309.8912,-198.523,5,6,-1.561,273.0,321.0,40.0,54.0,172.0
460,SMACross,18,28,-0.0023,28.5851,47,19,28,0.4043,296.0317,-201.7055,4,6,-1.4676,290.0,273.0,27.0,33.0,155.75
461,SMACross,18,29,-0.1164,35.0308,44,18,25,0.4091,298.9474,-258.9776,4,5,-1.1543,422.0,93.0,22.0,3.0,135.0
462,SMACross,18,30,-0.1302,35.388,43,16,26,0.3721,339.9186,-255.9371,3,5,-1.3281,433.0,83.0,80.0,19.0,153.75
463,SMACross,18,31,-0.1227,34.1281,42,14,27,0.3333,372.7653,-235.8706,3,5,-1.5804,425.0,118.0,204.0,61.0,202.0
464,SMACross,18,32,-0.1993,37.8267,40,14,25,0.35,329.5678,-255.4341,3,4,-1.2902,497.0,30.0,139.5,11.0,169.375
465,SMACross,18,33,-0.166,35.3498,39,11,27,0.2821,402.6005,-219.3097,2,5,-1.8358,467.0,85.0,446.5,143.0,285.375
466,SMACross,18,34,-0.1792,36.4467,42,10,31,0.2381,443.8584,-194.9501,2,10,-2.2768,485.0,53.0,523.0,355.0,354.0
467,SMACross,18,35,-0.1766,35.5641,40,9,30,0.225,474.9914,-195.2555,2,8,-2.4327,480.0,75.0,531.5,430.0,379.125
468,SMACross,18,36,-0.1752,36.1777,38,10,27,0.2632,428.0147,-216.7144,2,7,-1.975,477.0,60.0,498.5,198.0,308.375
469,SMACross,18,37,-0.1856,37.2495,38,9,28,0.2368,460.6314,-207.284,2,6,-2.2222,489.0,44.0,524.5,321.0,344.625
470,SMACross,18,38,-0.2156,38.8148,37,10,26,0.2703,409.6272,-230.7893,2,8,-1.7749,504.0,20.0,481.0,118.0,280.75
471,SMACross,18,39,-0.1946,38.0521,36,12,23,0.3333,363.1848,-264.825,2,7,-1.3714,495.0,28.0,204.0,23.0,187.5
472,SMACross,18,40,-0.1911,39.0998,35,12,22,0.3429,361.5927,-273.6728,2,7,-1.3213,491.0,16.0,165.5,18.0,172.625
473,SMACross,18,41,-0.2477,39.5228,36,9,26,0.25,448.639,-237.5746,2,10,-1.8884,511.0,11.0,513.5,167.0,300.625
474,SMACross,18,42,-0.1424,32.6382,35,10,24,0.2857,421.7688,-228.5034,2,9,-1.8458,445.0,171.0,436.5,148.0,300.125
475,SMACross,18,43,-0.1491,33.3551,34,8,25,0.2353,529.2471,-222.3439,2,9,-2.3803,455.0,149.0,526.0,415.0,386.25
476,SMACross,18,44,-0.1247,33.3851,33,9,23,0.2727,474.3555,-233.8867,2,8,-2.0281,429.0,146.0,473.0,221.0,317.25
477,SMACross,18,45,-0.0986,32.3444,32,10,21,0.3125,434.0489,-248.3823,2,8,-1.7475,405.0,177.0,299.5,112.0,248.375
478,SMACross,18,46,-0.0752,30.4965,31,10,20,0.3226,433.793,-249.8642,2,7,-1.7361,382.0,227.0,250.0,109.0,242.0
479,SMACross,18,47,-0.0528,30.1008,31,11,19,0.3548,398.7865,-254.4343,2,6,-1.5673,360.0,233.0,128.0,55.0,194.0
480,SMACross,18,48,-0.0159,28.2635,30,8,21,0.2667,511.7625,-199.1621,2,11,-2.5696,307.0,281.0,489.0,464.0,385.25
481,SMACross,18,49,-0.0062,28.1269,29,8,20,0.2759,516.3416,-206.129,2,9,-2.5049,298.0,285.0,466.0,451.0,375.0
482,SMACross,18,50,0.0896,24.2737,29,9,19,0.3103,496.1226,-181.6152,2,6,-2.7317,120.0,373.0,318.5,499.0,327.625
